dataset,mechanism,methodology,model_type,avg_f1,std_f1,,0.5,0.4,0.3,0.2
citeseer,SCAR,naive,XGBoost,0.006792465,0.005546037,,,,,
citeseer,SCAR,naive,MLP,0.052088064,0.033508832,,,4.63,0.68,0.24
citeseer,SCAR,naive,GATConv,0.25964759612336186,0.036779468,,,20.8,7.33,2.55
citeseer,SCAR,naive,GCNConv,0.29914726339798187,0.15693968887696558,,,12.49,0.27,0
citeseer,SCAR,two_nnif,NNIF+XGBoost,0.5065394971107269,0.018261968,,,22.6,19.09,10.35
citeseer,SCAR,two_nnif,MLP,0.4765677842382333,0.019547219968179434,,,18.73,12.21,
citeseer,SCAR,two_nnif,GATConv,0.5516227374447539,0.025572433804139018,,,37.27,28.57,
citeseer,SCAR,two_nnif,GCNConv,0.5819146843462901,0.017733737630928004,,,37.42,,
citeseer,SCAR,spy,MLP,0.48653092584741353,0.020453979091110113,,,,,
citeseer,SCAR,spy,GATConv,0.5609722619844326,0.031205004,,,,,
citeseer,SCAR,spy,GCNConv,0.5644097322397141,0.009500003,,,,,
citeseer,SCAR,nnpu,MLP,0.6705859358874184,0.015857480041129496,,,,,
citeseer,SCAR,nnpu,GATConv,0.7034986454363346,0.015600561846780736,,,,,
citeseer,SCAR,nnpu,GCNConv,0.7086573354987695,0.006403234,,,,,
citeseer,SCAR,imbnnpu,MLP,0.474064128,0.029966494981098612,,,,,
citeseer,SCAR,imbnnpu,GATConv,0.6712753897082427,0.016207971376836716,,,,,
citeseer,SCAR,imbnnpu,GCNConv,0.7019724970514792,0.008091271,,,,,
citeseer,SAR,naive,XGBoost,0.020221980217022657,0.009051864,,,,,
citeseer,SAR,naive,MLP,0.081417346,0.022678934,,,,,
citeseer,SAR,naive,GATConv,0.29747346829764115,0.046114287,,,,,
citeseer,SAR,naive,GCNConv,0.303145564,0.024276653001979374,,,,,
citeseer,SAR,two_nnif,NNIF+XGBoost,0.47769814753127093,0.038608448582056254,,,,,
citeseer,SAR,two_nnif,MLP,0.4864809471367648,0.024610337513823476,,,,,
citeseer,SAR,two_nnif,GATConv,0.5616741524255137,0.029687914,,,,,
citeseer,SAR,two_nnif,GCNConv,0.5768075845974167,0.023575626778482222,,,,,
citeseer,SAR,spy,MLP,0.5094088850287841,0.007567294,,,,,
citeseer,SAR,spy,GATConv,0.5601975269197969,0.012602170356536335,,,,,
citeseer,SAR,spy,GCNConv,0.570014012,0.015426853531850276,,,,,
citeseer,SAR,nnpu,MLP,0.6623509882249571,0.012890514284985354,,,,,
citeseer,SAR,nnpu,GATConv,0.6969889839872312,0.013619492398819523,,,,,
citeseer,SAR,nnpu,GCNConv,0.6999651710949847,0.003155209,,,,,
citeseer,SAR,imbnnpu,MLP,0.46406874431245243,0.033080181,,,,,
citeseer,SAR,imbnnpu,GATConv,0.6819069963247983,0.032752919517692346,,,,,
citeseer,SAR,imbnnpu,GCNConv,0.6833490893426133,0.013945741044363028,,,,,
cora,SCAR,naive,XGBoost,0.051371156,0.010740015123328384,,,,,
cora,SCAR,naive,MLP,0.023932439627664163,0.014328659889381066,,,,,
cora,SCAR,naive,GATConv,0.3437244851466737,0.031752952,,,,,
cora,SCAR,naive,GCNConv,0.37011954,0.037322777,,,,,
cora,SCAR,two_nnif,NNIF+XGBoost,0.48759308995987316,0.051269501940081404,,,,,
cora,SCAR,two_nnif,MLP,0.4220983531692304,0.047143305451284506,,,,,
cora,SCAR,two_nnif,GATConv,0.6276328495227398,0.022034748,,,,,
cora,SCAR,two_nnif,GCNConv,0.6363174229267541,0.038619645,,,,,
cora,SCAR,spy,MLP,0.49175867984518346,0.038366195,,,,,
cora,SCAR,spy,GATConv,0.651991853,0.029647629,,,,,
cora,SCAR,spy,GCNConv,0.7095687856469703,0.013679057929043338,,,,,
cora,SCAR,nnpu,MLP,0.6611902165929351,0.015248392,,,,,
cora,SCAR,nnpu,GATConv,0.7580881184493811,0.023567130037235554,,,,,
cora,SCAR,nnpu,GCNConv,0.8187670609278463,0.008334932,,,,,
cora,SCAR,imbnnpu,MLP,0.5642422236228061,0.028812257,,,,,
cora,SCAR,imbnnpu,GATConv,0.7748370703107951,0.010464802,,,,,
cora,SCAR,imbnnpu,GCNConv,0.8352692550495515,0.008084933,,,,,
cora,SAR,naive,XGBoost,0.052210764,0.008236007,,,,,
cora,SAR,naive,MLP,0.074510985,0.048468861,,,,,
cora,SAR,naive,GATConv,0.32802291853381166,0.064866462,,,,,
cora,SAR,naive,GCNConv,0.4329731002952486,0.035997077,,,,,
cora,SAR,two_nnif,NNIF+XGBoost,0.49521947364425384,0.057253625,,,,,
cora,SAR,two_nnif,MLP,0.4203077786148124,0.086715069,,,,,
cora,SAR,two_nnif,GATConv,0.6280564973842292,0.068260406,,,,,
cora,SAR,two_nnif,GCNConv,0.600922404,0.051228501,,,,,
cora,SAR,spy,MLP,0.4937337264290657,0.019402014216746925,,,,,
cora,SAR,spy,GATConv,0.6807664786878902,0.033773445,,,,,
cora,SAR,spy,GCNConv,0.715092485,0.019208853151118116,,,,,
cora,SAR,nnpu,MLP,0.6704820169155281,0.006573962,,,,,
cora,SAR,nnpu,GATConv,0.7831756502758891,0.013280567,,,,,
cora,SAR,nnpu,GCNConv,0.8109334471288007,0.013524998,,,,,
cora,SAR,imbnnpu,MLP,0.5852971940378809,0.018185853555746707,,,,,
cora,SAR,imbnnpu,GATConv,0.8160579387662892,0.008881224,,,,,
cora,SAR,imbnnpu,GCNConv,0.8373519401003208,0.014175739839355503,,,,,
pubmed,SCAR,naive,XGBoost,0.082372723,0.010134592606989776,,,,,
pubmed,SCAR,naive,MLP,0.36415756895354817,0.025969670488868578,,,,,
pubmed,SCAR,naive,GATConv,0.387093045,0.018224400272369684,,,,,
pubmed,SCAR,naive,GCNConv,0.34964502220796356,0.17694591235998572,,,,,
pubmed,SCAR,two_nnif,NNIF+XGBoost,0.8025988689918042,0.007466922,,,,,
pubmed,SCAR,two_nnif,MLP,0.7610649803499001,0.005114056,,,,,
pubmed,SCAR,two_nnif,GATConv,0.7885724390254195,0.00682733,,,,,
pubmed,SCAR,two_nnif,GCNConv,0.7892501394192339,0.004937888,,,,,
pubmed,SCAR,spy,MLP,0.7161928993096573,0.009923957,,,,,
pubmed,SCAR,spy,GATConv,0.7789207371143198,0.004964967,,,,,
pubmed,SCAR,spy,GCNConv,0.7808364859460074,0.008443808,,,,,
pubmed,SCAR,nnpu,MLP,0.5609941451335405,0.036932705,,,,,
pubmed,SCAR,nnpu,GATConv,0.6463199442622678,0.0182915,,,,,
pubmed,SCAR,nnpu,GCNConv,0.6470185067525851,0.026455154280327457,,,,,
pubmed,SCAR,imbnnpu,MLP,0.6659378540686636,0.008208204,,,,,
pubmed,SCAR,imbnnpu,GATConv,0.7044671149193472,0.008566718,,,,,
pubmed,SCAR,imbnnpu,GCNConv,0.7099181933387496,0.004912222,,,,,
pubmed,SAR,naive,XGBoost,0.082930492,0.011483056277593459,,,,,
pubmed,SAR,naive,MLP,0.30715501853766874,0.051037593,,,,,
pubmed,SAR,naive,GATConv,0.36385745735801384,0.035373347,,,,,
pubmed,SAR,naive,GCNConv,0.42559436930483907,0.027058824864570303,,,,,
pubmed,SAR,two_nnif,NNIF+XGBoost,0.7870290213044642,0.007423389,,,,,
pubmed,SAR,two_nnif,MLP,0.7533924128091984,0.002595489,,,,,
pubmed,SAR,two_nnif,GATConv,0.7821143559848414,0.004885909,,,,,
pubmed,SAR,two_nnif,GCNConv,0.7807995893149428,0.00367642,,,,,
pubmed,SAR,spy,MLP,0.7177616519839314,0.00401459,,,,,
pubmed,SAR,spy,GATConv,0.774216436,0.002162118,,,,,
pubmed,SAR,spy,GCNConv,0.7747541293019827,0.004750484,,,,,
pubmed,SAR,nnpu,MLP,0.5344129823351197,0.033549520349347786,,,,,
pubmed,SAR,nnpu,GATConv,0.631162591,0.030675035,,,,,
pubmed,SAR,nnpu,GCNConv,0.6096370132822593,0.011703275996264303,,,,,
pubmed,SAR,imbnnpu,MLP,0.6402644681560661,0.011051656860783224,,,,,
pubmed,SAR,imbnnpu,GATConv,0.6871320249544596,0.008268321,,,,,
pubmed,SAR,imbnnpu,GCNConv,0.6951308971027015,0.004929464,,,,,
wiki-cs,SCAR,naive,XGBoost,0,0,,,,,
wiki-cs,SCAR,naive,MLP,0.15668927926541976,0.022881256566293848,,,,,
wiki-cs,SCAR,naive,GATConv,0.3991551610278896,0.076047886,,,,,
wiki-cs,SCAR,naive,GCNConv,0.4727892080290254,0.017321372313009367,,,,,
wiki-cs,SCAR,two_nnif,NNIF+XGBoost,0.7589351557358647,0.006684327,,,,,
wiki-cs,SCAR,two_nnif,MLP,0.7546329296598636,0.00785511,,,,,
wiki-cs,SCAR,two_nnif,GATConv,0.8125951381016099,0.004615821,,,,,
wiki-cs,SCAR,two_nnif,GCNConv,0.8294472739361218,0.004571148,,,,,
wiki-cs,SCAR,spy,MLP,0.6836365806873916,0.010823334205798174,,,,,
wiki-cs,SCAR,spy,GATConv,0.7869593507352324,0.010823968980942048,,,,,
wiki-cs,SCAR,spy,GCNConv,0.7853676812719985,0.017799953,,,,,
wiki-cs,SCAR,nnpu,MLP,0.713225933,0.006336129,,,,,
wiki-cs,SCAR,nnpu,GATConv,0.683064616,0.070790727,,,,,
wiki-cs,SCAR,nnpu,GCNConv,0.7674917725750394,0.006189728,,,,,
wiki-cs,SCAR,imbnnpu,MLP,0.7529396817216176,0.002726395,,,,,
wiki-cs,SCAR,imbnnpu,GATConv,0.7425452820394203,0.02873396,,,,,
wiki-cs,SCAR,imbnnpu,GCNConv,0.8008928791255874,0.001617823,,,,,
wiki-cs,SAR,naive,XGBoost,0,0,,,,,
wiki-cs,SAR,naive,MLP,0.13989579808282243,0.029194216760337184,,,,,
wiki-cs,SAR,naive,GATConv,0.454480228,0.045070614,,,,,
wiki-cs,SAR,naive,GCNConv,0.47320596289116745,0.030050736526759703,,,,,
wiki-cs,SAR,two_nnif,NNIF+XGBoost,0.7441568195304058,0.009273444,,,,,
wiki-cs,SAR,two_nnif,MLP,0.7451635391718229,0.013778558517299037,,,,,
wiki-cs,SAR,two_nnif,GATConv,0.81729709,0.004386596,,,,,
wiki-cs,SAR,two_nnif,GCNConv,0.8258227497778602,0.010204802282483062,,,,,
wiki-cs,SAR,spy,MLP,0.6831870220956241,0.008199061,,,,,
wiki-cs,SAR,spy,GATConv,0.7895649216815623,0.012441574992427274,,,,,
wiki-cs,SAR,spy,GCNConv,0.7835463289304139,0.017275809550499836,,,,,
wiki-cs,SAR,nnpu,MLP,0.711651118,0.004739454,,,,,
wiki-cs,SAR,nnpu,GATConv,0.6963762978555826,0.017410098335947154,,,,,
wiki-cs,SAR,nnpu,GCNConv,0.7679713148008249,0.007831178,,,,,
wiki-cs,SAR,imbnnpu,MLP,0.7510698675279007,0.00316675,,,,,
wiki-cs,SAR,imbnnpu,GATConv,0.7391148076395588,0.054953657,,,,,
wiki-cs,SAR,imbnnpu,GCNConv,0.8031098756593504,0.006854145,,,,,
