dataset,mechanism,methodology,model_type,train_pct,avg_f1,std_f1,K,layers,hidden,out_channels,batch_size,ratio
cora,SCAR,naive,MLP,0.5,0.023932439627664163,0.014328659889381066,1,2,16,2,2048,0.23843599999999998
cora,SCAR,naive,GATConv,0.5,0.341864376916308,0.031439821661834455,1,2,16,2,2048,0.23843599999999998
cora,SCAR,naive,GCNConv,0.5,0.3707417943658912,0.03769765046761,1,2,16,2,2048,0.23843599999999998
cora,SCAR,naive,MLP,0.4,0.048419131094134996,0.0324054079175172,1,2,16,2,2048,0.2646019674059139
cora,SCAR,naive,GATConv,0.4,0.24752332906754132,0.03752928121930672,1,2,16,2,2048,0.2646019674059139
cora,SCAR,naive,GCNConv,0.4,0.06712095506846504,0.09880071413905213,1,2,16,2,2048,0.2646019674059139
cora,SCAR,naive,MLP,0.3,0.006242803771124818,0.005542666002357448,1,2,16,2,2048,0.2890296288475595
cora,SCAR,naive,GATConv,0.3,0.10315764043474718,0.027421302314662686,1,2,16,2,2048,0.2890296288475595
cora,SCAR,naive,GCNConv,0.3,0.020462046204620464,0.04092409240924093,1,2,16,2,2048,0.2890296288475595
cora,SCAR,naive,MLP,0.2,0.0006106870229007634,0.0012213740458015267,1,2,16,2,2048,0.31188663889325574
cora,SCAR,naive,GATConv,0.2,0.036348332190834685,0.019136747968377842,1,2,16,2,2048,0.31188663889325574
cora,SCAR,naive,GCNConv,0.2,0.006606606606606606,0.013213213213213212,1,2,16,2,2048,0.31188663889325574
cora,SCAR,NNIF,MLP,0.5,0.4813011022438022,0.03872050661665864,1,2,16,1,2048,0.23843599999999998
cora,SCAR,NNIF,MLP,0.4,0.4185868685624302,0.074103677736883,1,2,16,1,2048,0.2646019674059139
cora,SCAR,NNIF,MLP,0.3,0.30227189687437794,0.06436737242669081,1,2,16,1,2048,0.2890296288475595
cora,SCAR,NNIF,MLP,0.2,0.23080295238963494,0.06436861460775468,1,2,16,1,2048,0.31188663889325574
cora,SCAR,two_nnif,MLP,0.5,0.4105822261847793,0.03373792114099404,1,2,16,2,2048,0.23843599999999998
cora,SCAR,two_nnif,GATConv,0.5,0.605795338631989,0.01600385798556501,1,2,16,2,2048,0.23843599999999998
cora,SCAR,two_nnif,GCNConv,0.5,0.623615875227959,0.035837968137782054,1,2,16,2,2048,0.23843599999999998
cora,SCAR,two_nnif,MLP,0.4,0.3886207551431015,0.05640205162556183,1,2,16,2,2048,0.2646019674059139
cora,SCAR,two_nnif,GATConv,0.4,0.586547280498387,0.03556838802946332,1,2,16,2,2048,0.2646019674059139
cora,SCAR,two_nnif,GCNConv,0.4,0.585536481118312,0.04274865697030159,1,2,16,2,2048,0.2646019674059139
cora,SCAR,two_nnif,MLP,0.3,0.2724571183174581,0.062110713636109066,1,2,16,2,2048,0.2890296288475595
cora,SCAR,two_nnif,GATConv,0.3,0.32626950428204643,0.13324820863875483,1,2,16,2,2048,0.2890296288475595
cora,SCAR,two_nnif,GCNConv,0.3,0.12327123867566363,0.13797848076488758,1,2,16,2,2048,0.2890296288475595
cora,SCAR,two_nnif,MLP,0.2,0.1163402597826871,0.05746380340374964,1,2,16,2,2048,0.31188663889325574
cora,SCAR,two_nnif,GATConv,0.2,0.09332933424417274,0.05290609556487912,1,2,16,2,2048,0.31188663889325574
cora,SCAR,two_nnif,GCNConv,0.2,0.009680779621829724,0.010663590143095085,1,2,16,2,2048,0.31188663889325574
cora,SCAR,spy,MLP,0.5,0.49153403092150005,0.03868138795958587,1,2,16,2,2048,0.23843599999999998
cora,SCAR,spy,GATConv,0.5,0.6519179725928632,0.0312650874991159,1,2,16,2,2048,0.23843599999999998
cora,SCAR,spy,GCNConv,0.5,0.7095687856469703,0.013679057929043338,1,2,16,2,2048,0.23843599999999998
cora,SCAR,spy,MLP,0.4,0.5386857684256693,0.006008141640301251,1,2,16,2,2048,0.2646019674059139
cora,SCAR,spy,GATConv,0.4,0.6787930149230667,0.027552427950931165,1,2,16,2,2048,0.2646019674059139
cora,SCAR,spy,GCNConv,0.4,0.7313513781725216,0.019818871134878575,1,2,16,2,2048,0.2646019674059139
cora,SCAR,spy,MLP,0.3,0.5105551615122818,0.02251391486575512,1,2,16,2,2048,0.2890296288475595
cora,SCAR,spy,GATConv,0.3,0.6309756167979212,0.028286088198847724,1,2,16,2,2048,0.2890296288475595
cora,SCAR,spy,GCNConv,0.3,0.6501836338563651,0.036345988223023505,1,2,16,2,2048,0.2890296288475595
cora,SCAR,spy,MLP,0.2,0.4537563187725736,0.032127241725059326,1,2,16,2,2048,0.31188663889325574
cora,SCAR,spy,GATConv,0.2,0.5706778170865563,0.03790377755930374,1,2,16,2,2048,0.31188663889325574
cora,SCAR,spy,GCNConv,0.2,0.6192840244268959,0.0339855710250112,1,2,16,2,2048,0.31188663889325574
cora,SCAR,nnpu,MLP,0.5,0.6611902165929351,0.01524839162113681,1,2,16,1,2048,0.23843599999999998
cora,SCAR,nnpu,GATConv,0.5,0.7580881184493811,0.023567130037235554,1,2,16,1,2048,0.23843599999999998
cora,SCAR,nnpu,GCNConv,0.5,0.8187670609278463,0.008334931887642666,1,2,16,1,2048,0.23843599999999998
cora,SCAR,nnpu,MLP,0.4,0.6648647512456904,0.01135502073929904,1,2,16,1,2048,0.2646019674059139
cora,SCAR,nnpu,GATConv,0.4,0.7782944685105608,0.029194670781163282,1,2,16,1,2048,0.2646019674059139
cora,SCAR,nnpu,GCNConv,0.4,0.8355267357778328,0.008674841250476746,1,2,16,1,2048,0.2646019674059139
cora,SCAR,nnpu,MLP,0.3,0.6562161063656056,0.02260303581453656,1,2,16,1,2048,0.2890296288475595
cora,SCAR,nnpu,GATConv,0.3,0.7810958805845747,0.03857975055254188,1,2,16,1,2048,0.2890296288475595
cora,SCAR,nnpu,GCNConv,0.3,0.8435751282065059,0.012828057807299073,1,2,16,1,2048,0.2890296288475595
cora,SCAR,nnpu,MLP,0.2,0.6158921764632511,0.018299295558363435,1,2,16,1,2048,0.31188663889325574
cora,SCAR,nnpu,GATConv,0.2,0.7648733816530306,0.03872647359517937,1,2,16,1,2048,0.31188663889325574
cora,SCAR,nnpu,GCNConv,0.2,0.8288373749688255,0.014435048587956807,1,2,16,1,2048,0.31188663889325574
cora,SCAR,imbnnpu,MLP,0.5,0.5642422236228061,0.02881225706628606,1,2,16,1,2048,0.23843599999999998
cora,SCAR,imbnnpu,GATConv,0.5,0.7750152415957052,0.010244580455333462,1,2,16,1,2048,0.23843599999999998
cora,SCAR,imbnnpu,GCNConv,0.5,0.8352692550495515,0.008084933373037211,1,2,16,1,2048,0.23843599999999998
cora,SCAR,imbnnpu,MLP,0.4,0.5308926607967103,0.02036561737830605,1,2,16,1,2048,0.2646019674059139
cora,SCAR,imbnnpu,GATConv,0.4,0.772147515406032,0.010382754534476167,1,2,16,1,2048,0.2646019674059139
cora,SCAR,imbnnpu,GCNConv,0.4,0.8269876124256512,0.013785697642010545,1,2,16,1,2048,0.2646019674059139
cora,SCAR,imbnnpu,MLP,0.3,0.43438586077663655,0.027768825695777526,1,2,16,1,2048,0.2890296288475595
cora,SCAR,imbnnpu,GATConv,0.3,0.7253206751010082,0.025904572592846425,1,2,16,1,2048,0.2890296288475595
cora,SCAR,imbnnpu,GCNConv,0.3,0.8175841422365371,0.017232205184009523,1,2,16,1,2048,0.2890296288475595
cora,SCAR,imbnnpu,MLP,0.2,0.3281023597827508,0.016247366567345257,1,2,16,1,2048,0.31188663889325574
cora,SCAR,imbnnpu,GATConv,0.2,0.6548449486166539,0.036827377920283955,1,2,16,1,2048,0.31188663889325574
cora,SCAR,imbnnpu,GCNConv,0.2,0.7606115043484902,0.014217205556421574,1,2,16,1,2048,0.31188663889325574
cora,SCAR,ours,GCNConv,0.5,0.8020150768155115,0.009186420290507454,17,2,256,256,2048,0.23843599999999998
cora,SCAR,ours,GCNConv,0.4,0.7888048771663754,0.01566512911871116,17,2,256,256,2048,0.2646019674059139
cora,SCAR,ours,GCNConv,0.3,0.7507408910188529,0.014966824184397242,17,2,256,256,2048,0.2890296288475595
cora,SCAR,ours,GCNConv,0.2,0.6177181561492203,0.07231919206141142,17,2,256,256,2048,0.31188663889325574
cora,SAR,naive,MLP,0.5,0.07545209623273386,0.04731787924355045,1,2,16,2,2048,0.23843599999999998
cora,SAR,naive,GATConv,0.5,0.3283519072086106,0.06683016587484855,1,2,16,2,2048,0.23843599999999998
cora,SAR,naive,GCNConv,0.5,0.4324105915060488,0.03552118381904582,1,2,16,2,2048,0.23843599999999998
cora,SAR,naive,MLP,0.4,0.06043448690905575,0.04176028673254034,1,2,16,2,2048,0.2646019674059139
cora,SAR,naive,GATConv,0.4,0.19816868884827488,0.035849510141437876,1,2,16,2,2048,0.2646019674059139
cora,SAR,naive,GCNConv,0.4,0.09750109148101871,0.07715387445440283,1,2,16,2,2048,0.2646019674059139
cora,SAR,naive,MLP,0.3,0.011015490533562823,0.013491165536843666,1,2,16,2,2048,0.2890296288475595
cora,SAR,naive,GATConv,0.3,0.06906374288592539,0.05029731526635872,1,2,16,2,2048,0.2890296288475595
cora,SAR,naive,GCNConv,0.3,0.0,0.0,1,2,16,2,2048,0.2890296288475595
cora,SAR,naive,MLP,0.2,0.003645588388606378,0.005884514423328773,1,2,16,2,2048,0.31188663889325574
cora,SAR,naive,GATConv,0.2,0.028261194379221238,0.03219451633027355,1,2,16,2,2048,0.31188663889325574
cora,SAR,naive,GCNConv,0.2,0.0,0.0,1,2,16,2,2048,0.31188663889325574
cora,SAR,NNIF,MLP,0.5,0.48895091748878566,0.059726189534845715,1,2,16,1,2048,0.23843599999999998
cora,SAR,NNIF,MLP,0.4,0.4266037156075539,0.07725323293118531,1,2,16,1,2048,0.2646019674059139
cora,SAR,NNIF,MLP,0.3,0.3467016835653258,0.09323163599832644,1,2,16,1,2048,0.2890296288475595
cora,SAR,NNIF,MLP,0.2,0.22889883562902263,0.07536473333040401,1,2,16,1,2048,0.31188663889325574
cora,SAR,two_nnif,MLP,0.5,0.4216877520715932,0.07302504115272217,1,2,16,2,2048,0.23843599999999998
cora,SAR,two_nnif,GATConv,0.5,0.6215278265761544,0.06866382470395253,1,2,16,2,2048,0.23843599999999998
cora,SAR,two_nnif,GCNConv,0.5,0.6277046488515293,0.046045905742257934,1,2,16,2,2048,0.23843599999999998
cora,SAR,two_nnif,MLP,0.4,0.356763418264341,0.045483356721831555,1,2,16,2,2048,0.2646019674059139
cora,SAR,two_nnif,GATConv,0.4,0.5279186908302358,0.09095250329572246,1,2,16,2,2048,0.2646019674059139
cora,SAR,two_nnif,GCNConv,0.4,0.5271166834554334,0.055446180392126884,1,2,16,2,2048,0.2646019674059139
cora,SAR,two_nnif,MLP,0.3,0.10473674965738837,0.0749575029435541,1,2,16,2,2048,0.2890296288475595
cora,SAR,two_nnif,GATConv,0.3,0.2884407150891097,0.2177942780712012,1,2,16,2,2048,0.2890296288475595
cora,SAR,two_nnif,GCNConv,0.3,0.19348020855213055,0.195139901004707,1,2,16,2,2048,0.2890296288475595
cora,SAR,two_nnif,MLP,0.2,0.024377238653480904,0.025569891035411067,1,2,16,2,2048,0.31188663889325574
cora,SAR,two_nnif,GATConv,0.2,0.08966747612368059,0.09227137573857767,1,2,16,2,2048,0.31188663889325574
cora,SAR,two_nnif,GCNConv,0.2,0.035648379122265136,0.04124416960929278,1,2,16,2,2048,0.31188663889325574
cora,SAR,spy,MLP,0.5,0.4952094296873457,0.018257277741145096,1,2,16,2,2048,0.23843599999999998
cora,SAR,spy,GATConv,0.5,0.6801243371407878,0.034256507286633896,1,2,16,2,2048,0.23843599999999998
cora,SAR,spy,GCNConv,0.5,0.7149216693792525,0.01913784707107675,1,2,16,2,2048,0.23843599999999998
cora,SAR,spy,MLP,0.4,0.5174479992814534,0.01849705746908324,1,2,16,2,2048,0.2646019674059139
cora,SAR,spy,GATConv,0.4,0.6944476630223837,0.012706772863300866,1,2,16,2,2048,0.2646019674059139
cora,SAR,spy,GCNConv,0.4,0.7288116942679095,0.012227886530128101,1,2,16,2,2048,0.2646019674059139
cora,SAR,spy,MLP,0.3,0.4957920257457162,0.015876085984367152,1,2,16,2,2048,0.2890296288475595
cora,SAR,spy,GATConv,0.3,0.6415168429493208,0.024075029937692654,1,2,16,2,2048,0.2890296288475595
cora,SAR,spy,GCNConv,0.3,0.6715983806001369,0.014078164689500244,1,2,16,2,2048,0.2890296288475595
cora,SAR,spy,MLP,0.2,0.4374512346441355,0.006158570393928667,1,2,16,2,2048,0.31188663889325574
cora,SAR,spy,GATConv,0.2,0.5764782316528223,0.032723217231787276,1,2,16,2,2048,0.31188663889325574
cora,SAR,spy,GCNConv,0.2,0.5956041746811536,0.024768766690917585,1,2,16,2,2048,0.31188663889325574
cora,SAR,nnpu,MLP,0.5,0.6704820169155281,0.006573961522574296,1,2,16,1,2048,0.23843599999999998
cora,SAR,nnpu,GATConv,0.5,0.7830171389748096,0.013266973837164533,1,2,16,1,2048,0.23843599999999998
cora,SAR,nnpu,GCNConv,0.5,0.8086028530743524,0.016715011834631078,1,2,16,1,2048,0.23843599999999998
cora,SAR,nnpu,MLP,0.4,0.6790147629160798,0.014957766618310131,1,2,16,1,2048,0.2646019674059139
cora,SAR,nnpu,GATConv,0.4,0.8143374748554505,0.011199761080427846,1,2,16,1,2048,0.2646019674059139
cora,SAR,nnpu,GCNConv,0.4,0.837573963691162,0.011931420362166267,1,2,16,1,2048,0.2646019674059139
cora,SAR,nnpu,MLP,0.3,0.666503469887168,0.009080276867310477,1,2,16,1,2048,0.2890296288475595
cora,SAR,nnpu,GATConv,0.3,0.8242023632843442,0.01236983159720138,1,2,16,1,2048,0.2890296288475595
cora,SAR,nnpu,GCNConv,0.3,0.8451771183146735,0.011607014528546787,1,2,16,1,2048,0.2890296288475595
cora,SAR,nnpu,MLP,0.2,0.6515137192121162,0.01523138152477614,1,2,16,1,2048,0.31188663889325574
cora,SAR,nnpu,GATConv,0.2,0.7938317698052275,0.022856773687318328,1,2,16,1,2048,0.31188663889325574
cora,SAR,nnpu,GCNConv,0.2,0.8350284969505719,0.010553389207062608,1,2,16,1,2048,0.31188663889325574
cora,SAR,imbnnpu,MLP,0.5,0.5852971940378809,0.018185853555746707,1,2,16,1,2048,0.23843599999999998
cora,SAR,imbnnpu,GATConv,0.5,0.815858668847072,0.009051757626197294,1,2,16,1,2048,0.23843599999999998
cora,SAR,imbnnpu,GCNConv,0.5,0.8373519401003208,0.014175739839355503,1,2,16,1,2048,0.23843599999999998
cora,SAR,imbnnpu,MLP,0.4,0.532977257568563,0.021346250981544874,1,2,16,1,2048,0.2646019674059139
cora,SAR,imbnnpu,GATConv,0.4,0.7938571043525446,0.023152143176427335,1,2,16,1,2048,0.2646019674059139
cora,SAR,imbnnpu,GCNConv,0.4,0.8393937849774608,0.013082137946536126,1,2,16,1,2048,0.2646019674059139
cora,SAR,imbnnpu,MLP,0.3,0.4378858137602012,0.023845709042369583,1,2,16,1,2048,0.2890296288475595
cora,SAR,imbnnpu,GATConv,0.3,0.7425736762963246,0.02951296726443309,1,2,16,1,2048,0.2890296288475595
cora,SAR,imbnnpu,GCNConv,0.3,0.8121386439639874,0.013600925649517938,1,2,16,1,2048,0.2890296288475595
cora,SAR,imbnnpu,MLP,0.2,0.33057619289170537,0.01947787817734588,1,2,16,1,2048,0.31188663889325574
cora,SAR,imbnnpu,GATConv,0.2,0.6089938193723923,0.058017074593209525,1,2,16,1,2048,0.31188663889325574
cora,SAR,imbnnpu,GCNConv,0.2,0.7672137996777806,0.013587946639434184,1,2,16,1,2048,0.31188663889325574
cora,SAR,ours,GCNConv,0.5,0.7924193381149574,0.014140970328135879,17,2,256,256,2048,0.23843599999999998
cora,SAR,ours,GCNConv,0.4,0.7945595073537578,0.004815812509053494,17,2,256,256,2048,0.2646019674059139
cora,SAR,ours,GCNConv,0.3,0.7514496401302401,0.016079531525171713,17,2,256,256,2048,0.2890296288475595
cora,SAR,ours,GCNConv,0.2,0.6548215031759248,0.03457991887469593,17,2,256,256,2048,0.31188663889325574
